Name/Alias,Systematic Name
AAF1,['YML081W']
AAH1,['YNL141W']
AAP1',['YHR047C']
AAR1,['YCR084C']
AAR2,['YBL074C']
AAS1,['YDR283C']
AAS101,['YEL009C']
AAS102,['YDR283C']
AAS103,['YGL195W']
AAS104,['YGR252W']
AAS2,['YKR026C']
AAS3,['YEL009C']
AAT1,['YKL106W']
AAT2,['YLR027C']
ABC1,['YGL119W']
ABC10-alpha,['YHR143W-A']
ABC10-beta,['YOR210W']
ABC14.5,['YOR224C']
ABC23,['YPR187W']
ABC27,['YBR154C']
ABD1,['YBR236C']
ABE1,['YOL051W']
ABF1,['YKL112W']
ABF2,['YMR072W']
ABM1,['YJR108W']
ABP1,['YCR088W']
ABP140,['YOR239W']
ABP2,['YNR016C']
ABP67,['YDR129C']
ABT1,['YNR054C']
ABY1,['YFL039C']
ABZ1,['YNR033W']
ABZ2,['YMR289W']
AC19,['YNL113W']
ACA1,['YER045C']
ACA2,['YIL036W']
ACB1,['YGR037C']
ACC1,['YNR016C']
ACC2,['YDL141W']
ACE1,['YGL166W']
ACE2,['YLR131C']
ACF2,['YLR144C']
ACF4,['YJR083C']
ACH1,['YBL015W']
ACK1,['YDL203C']
ACL4,['YDR161W']
ACM1,['YPL267W']
ACN17,['YLL041C']
ACN18,['YDR178W']
ACN8,['YLR377C']
ACN9,['YDR511W']
ACO1,['YLR304C']
ACO2,['YJL200C']
ACP1,['YKL192C']
ACP2,['YNL151C']
ACR2,['YPR200C']
ACR3,['YPR201W']
ACS1,['YAL054C']
ACS2,['YLR153C']
ACT1,['YFL039C']
ACT2,['YDL029W']
ACT3,['YJL081C']
ACT4,['YJR065C']
ACT5,['YHR129C']
ADA1,['YPL254W']
ADA2,['YDR448W']
ADA3,['YDR176W']
ADA4,['YGR252W']
ADA5,['YOL148C']
ADC1,['YOL086C']
ADC17,['YDL110C']
ADD37,['YMR184W']
ADD66,['YKL206C']
ADE1,['YAR015W']
ADE12,['YNL220W']
ADE13,['YLR359W']
ADE16,['YLR028C']
ADE17,['YMR120C']
ADE2,['YOR128C']
ADE3,['YGR204W']
ADE4,['YMR300C']
"ADE5,7",['YGL234W']
ADE6,['YGR061C']
ADE8,['YDR408C']
ADE9,['YOR184W']
ADF1,['YCL058W-A']
ADH1,['YOL086C']
ADH2,['YMR303C']
ADH3,['YMR083W']
ADH4,['YGL256W']
ADH6,['YMR318C']
ADH7,['YCR105W']
ADHVI,['YMR318C']
ADHVII,['YCR105W']
ADI1,['YMR009W']
ADK1,['YDR226W']
ADK2,['YER170W']
ADO1,['YJR105W']
ADP-ribose 1''-phosphate phosphatase,['YBR022W']
ADP-ribose diphosphatase,['YBR111C']
ADP-ribosylation factor GTPase-activating protein,['YER122C']
ADP/ATP carrier protein AAC1,['YMR056C']
ADP/ATP carrier protein AAC3,['YBR085W']
ADP/ATP carrier protein PET9,['YBL030C']
ADP1,['YCR011C']
ADR1,['YDR216W']
ADR2,['YMR303C']
ADR6,['YPL016W']
ADY1,['YHR185C']
ADY2,['YCR010C']
ADY3,['YDL239C']
ADY4,['YLR227C']
AEP1,['YMR064W']
AEP2,['YMR282C']
AEP3,['YPL005W']
AER2,['YCR084C']
AFB1,['YLR040C']
AFC1,['YJR117W']
AFG1,['YEL052W']
AFG2,['YLR397C']
AFG3,['YER017C']
AFI1,['YOR129C']
AFO1,['YGR076C']
AFR1,['YDR085C']
AFT1,['YGL071W']
AFT2,['YPL202C']
AG(ALPHA)1,['YJR004C']
AGA1,['YNR044W']
AGA2,['YGL032C']
AGC1,['YPR021C']
AGE1,['YDR524C']
AGE2,['YIL044C']
AGM1,['YEL058W']
AGP1,['YCL025C']
AGP2,['YBR132C']
AGP3,['YFL055W']
AGS1,['YCL008C']
AGS3,['YOL001W']
AGT1,['YGR289C']
AGX1,['YFL030W']
AHA1,['YDR214W']
AHC1,['YOR023C']
AHC2,['YCR082W']
AHK1,['YDL073W']
AHP1,['YLR109W']
AHT1,['YHR093W']
AI1,['Q0050']
AI2,['Q0055']
AI3,['Q0060']
AI4,['Q0065']
AI5_ALPHA,['Q0070']
AI5_BETA,['Q0075']
AIF1,['YNR074C']
AIM1,['YAL046C']
AIM10,['YER087W']
AIM11,['YER093C-A']
AIM12,['YFR007W']
AIM13,['YFR011C']
AIM14,['YGL160W']
AIM15,['YGL220W']
AIM17,['YHL021C']
AIM18,['YHR198C']
AIM19,['YIL087C']
AIM2,['YAL049C']
AIM20,['YIL158W']
AIM21,['YIR003W']
AIM22,['YJL046W']
AIM23,['YJL131C']
AIM24,['YJR080C']
AIM25,['YJR100C']
AIM26,['YKL037W']
AIM27,['YKL207W']
AIM28,['YKR016W']
AIM29,['YKR074W']
AIM3,['YBR108W']
AIM30,['YLR168C']
AIM31,['YML030W']
AIM32,['YML050W']
AIM33,['YML087C']
AIM34,['YMR003W']
AIM36,['YMR157C']
AIM37,['YNL100W']
AIM38,['YNR018W']
AIM39,['YOL053W']
AIM4,['YBR194W']
AIM40,['YOR205C']
AIM41,['YOR215C']
AIM42,['YOR286W']
AIM43,['YPL099C']
AIM44,['YPL158C']
AIM45,['YPR004C']
AIM46,['YHR199C']
AIM5,['YBR262C']
AIM6,['YDL237W']
AIM7,['YDR063W']
AIM8,['YDR493W']
AIM9,['YER080W']
AIP1,['YMR092C']
AIP2,['YDL178W']
AIP3,['YLR319C']
AIP5,['YFR016C']
AIR1,['YIL079C']
AIR2,['YDL175C']
AIS2,['YDL130W-A']
AKL1,['YBR059C']
AKR1,['YDR264C']
AKR2,['YOR034C']
AKY1,['YDR226W']
AKY2,['YDR226W']
AKY3,['YER170W']
ALA1,['YOR335C']
ALB1,['YJL122W']
ALC1,['YIR029W']
ALD1,['YPL061W']
ALD2,['YMR170C']
ALD3,['YMR169C']
ALD4,['YOR374W']
ALD5,['YER073W']
ALD6,['YPL061W']
ALD7,['YOR374W']
ALDH2,['YOR374W']
ALE1,['YOR175C']
ALF1,['YNL148C']
ALG1,['YBR110W']
ALG10,['YGR227W']
ALG11,['YNL048W']
ALG12,['YNR030W']
ALG13,['YGL047W']
ALG14,['YBR070C']
ALG2,['YGL065C']
ALG3,['YBL082C']
ALG4,['YFL045C']
ALG5,['YPL227C']
ALG6,['YOR002W']
ALG7,['YBR243C']
ALG8,['YOR067C']
ALG9,['YNL219C']
ALK1,['YGL021W']
ALK2,['YBL009W']
ALO1,['YML086C']
ALP1,['YNL270C']
ALR1,['YOL130W']
ALR2,['YFL050C']
ALT1,['YLR089C']
ALT2,['YDR111C']
ALY1,['YKR021W']
ALY2,['YJL084C']
AMA1,['YGR225W']
AMD1,['YML035C']
AMD2,['YDR242W']
AMD3,['YML035C']
AME1,['YBR211C']
AMF1,['YOR378W']
AMI1,['YBR244W']
AML1,['YGR001C']
AMM1,['YCR084C']
AMN1,['YBR158W']
AMP deaminase,['YML035C']
AMP-activated serine/threonine-protein kinase catalytic subunit SNF1,['YDR477W']
AMP-activated serine/threonine-protein kinase regulatory subunit SNF4,['YGL115W']
AMP1,['YOL062C']
AMS1,['YGL156W']
AMT1,['YGR121C']
AMU1,['YDL173W']
AMY1,['YGL013C']
AMY2,['YBL005W']
ANB1,['YJR047C']
ANC1,['YPL129W']
ANC3,['YBR085W']
ANP1,['YEL036C']
ANR2,['YKL047W']
ANS1,['YHR126C']
ANU1,['YIL109C']
ANU2,['YIL076W']
ANU3,['YLR208W']
ANU4,['YBR080C']
ANY1,['YMR010W']
AOR1,['YBR231C']
AOS1,['YPR180W']
APA2,['YDR530C']
APC1,['YNL172W']
APC10,['YGL240W']
APC11,['YDL008W']
APC13,['YDR260C']
APC2,['YLR127C']
APC3,['YBL084C']
APC4,['YDR118W']
APC5,['YOR249C']
APC9,['YLR102C']
APD1,['YBR151W']
APE1,['YKL103C']
APE2,['YKL157W']
APE3,['YBR286W']
APE4,['YHR113W']
APF1,['YDL212W']
APG1,['YGL180W']
APG10,['YLL042C']
APG11,['YHR171W']
APG12,['YBR217W']
APG13,['YPR185W']
APG14,['YBR128C']
APG15,['YMR159C']
APG16,['YMR159C']
APG17,['YLR423C']
APG2,['YNL242W']
APG3,['YNR007C']
APG4,['YNL223W']
APG5,['YPL149W']
APG6,['YPL120W']
APG7,['YHR171W']
APG8,['YBL078C']
APG9,['YDL149W']
APH1,['YDR305C']
API,['YKL103C']
API1,['YDR372C']
API2,['YDR525W']
API3,['YKR020W']
API4,['YNL051W']
APJ1,['YNL077W']
APL2,['YKL135C']
APL3,['YBL037W']
APL4,['YPR029C']
APL5,['YPL195W']
APL6,['YGR261C']
APM1,['YPL259C']
APM2,['YHL019C']
APM3,['YBR288C']
APM4,['YOL062C']
APN1,['YKL114C']
APN2,['YBL019W']
APP1,['YNL094W']
APP2,['YMR192W']
APQ12,['YIL040W']
APQ13,['YJL075C']
APR1,['YJL153C']
APR6,['YER177W']
APS1,['YLR170C']
APS2,['YJR058C']
APS3,['YJL024C']
APT2,['YDR441C']
AQR1,['YNL065W']
AQR2,['YBR043C']
AQY1,['YPR192W']
AQY2,['YLL052C']
AQY3,['YFL054C']
ARA1,['YBR149W']
ARA2,['YMR041C']
ARB1,['YER036C']
ARC1,['YGL105W']
ARC15,['YIL062C']
ARC18,['YLR370C']
ARC19,['YKL013C']
ARC35,['YNR035C']
ARC40,['YBR234C']
ARD1,['YHR013C']
ARD2,['YOR253W']
ARE1,['YCR048W']
ARE2,['YNR019W']
ARF1,['YDL192W']
ARF2,['YDL137W']
ARF3,['YOR094W']
ARG1,['YOL058W']
ARG10,['YOL058W']
ARG11,['YOR130C']
ARG2,['YJL071W']
ARG3,['YJL088W']
ARG4,['YHR018C']
"ARG5,6",['YER069W']
ARG7,['YMR062C']
ARG8,['YOL140W']
ARG80,['YMR042W']
ARG81,['YML099C']
ARG82,['YDR173C']
ARG9,['YEL009C']
ARGR1,['YMR042W']
ARGR2,['YML099C']
ARGR3,['YDR173C']
ARGRI,['YMR042W']
ARGRII,['YML099C']
ARGRIII,['YDR173C']
ARH1,['YDR376W']
ARI1,['YGL157W']
ARK1,['YNL020C']
ARL1,['YBR164C']
ARL2,['YOR094W']
ARL3,['YPL051W']
ARM10,['YFL037W']
ARM5,['YCL029C']
ARN1,['YHL040C']
ARN2,['YHL047C']
ARN3,['YEL065W']
ARN4,['YOL158C']
ARO1,['YDR127W']
ARO10,['YDR380W']
ARO2,['YGL148W']
ARO3,['YDR035W']
ARO4,['YBR249C']
ARO7,['YPR060C']
ARO8,['YGL202W']
ARO80,['YDR421W']
ARO9,['YHR137W']
ARP1,['YHR129C']
ARP10,['YDR106W']
ARP100,['YBR211C']
ARP2,['YDL029W']
ARP3,['YJR065C']
ARP4,['YJL081C']
ARP5,['YNL059C']
ARP6,['YLR085C']
ARP7,['YPR034W']
ARP8,['YOR141C']
ARP9,['YMR033W']
ARR1,['YPR199C']
ARR2,['YPR200C']
ARR3,['YPR201W']
ARR4,['YDL100C']
ART10,['YLR392C']
ART2,['YBL101C']
ART3,['YJL084C']
ART4,['YOR018W']
ART5,['YGR068C']
ART6,['YKR021W']
ART7,['YFR022W']
ART8,['YPR030W']
ART9,['YGL045W']
ARV1,['YLR242C']
ARX1,['YDR101C']
ASA1,['YPR085C']
ASC1,['YMR116C']
ASD1,['YDR227W']
ASE1,['YOR058C']
ASF1,['YJL115W']
ASF2,['YDL197C']
ASG1,['YIL130W']
ASG7,['YJL170C']
ASH1,['YKL185W']
ASI1,['YMR119W']
ASI2,['YNL159C']
ASI3,['YNL008C']
ASI6,['YPL084W']
ASK1,['YKL052C']
ASK10,['YGR097W']
ASM4,['YDL088C']
ASN1,['YPR145W']
ASN2,['YGR124W']
ASP1,['YDR321W']
ASP3-1,['YLR155C']
ASP3-2,['YLR157C']
ASP3-3,['YLR158C']
ASP3-4,['YLR160C']
ASP5,['YLR027C']
ASR1,['YPR093C']
AST1,['YBL069W']
AST2,['YER101C']
AST4,['YML001W']
ASU9,['YMR116C']
ATC1,['YDR184C']
ATE1,['YGL017W']
ATF1,['YOR377W']
ATF2,['YGR177C']
ATG1,['YGL180W']
ATG10,['YLL042C']
ATG11,['YPR049C']
ATG12,['YBR217W']
ATG13,['YPR185W']
ATG14,['YBR128C']
ATG15,['YCR068W']
ATG16,['YMR159C']
ATG17,['YLR423C']
ATG18,['YFR021W']
ATG19,['YOL082W']
ATG19-B,['YOL083W']
ATG2,['YNL242W']
ATG20,['YDL113C']
ATG21,['YPL100W']
ATG22,['YCL038C']
ATG23,['YLR431C']
ATG24,['YJL036W']
ATG26,['YLR189C']
ATG27,['YJL178C']
ATG29,['YPL166W']
ATG3,['YNR007C']
ATG31,['YDR022C']
ATG32,['YIL146C']
ATG33,['YLR356W']
ATG34,['YOL083W']
ATG36,['YJL185C']
ATG38,['YLR211C']
ATG39,['YLR312C']
ATG4,['YNL223W']
ATG40,['YOR152C']
ATG41,['YPL250C']
ATG42,['YBR139W']
ATG5,['YPL149W']
ATG6,['YPL120W']
ATG7,['YHR171W']
ATG8,['YBL078C']
ATG9,['YDL149W']
ATH1,['YPR026W']
ATM1,['YMR301C']
ATO1,['YCR010C']
ATO2,['YNR002C']
ATO3,['YDR384C']
ATP phosphoribosyltransferase,['YER055C']
ATP synthase complex assembly protein ATP12,['YJL180C']
ATP-binding cassette Fe/S cluster precursor transporter ATM1,['YMR301C']
ATP-binding cassette a-factor transporter STE6,['YKL209C']
ATP-binding cassette bilirubin transporter BPT1,['YLL015W']
ATP-binding cassette family ATPase ARB1,['YER036C']
ATP-binding cassette glutathione S-conjugate transporter YCF1,['YDR135C']
ATP-binding cassette long-chain fatty acid transporter PXA1,['YPL147W']
ATP-binding cassette long-chain fatty acid transporter PXA2,['YKL188C']
ATP-binding cassette multidrug transporter PDR10,['YOR328W']
ATP-binding cassette multidrug transporter PDR11,['YIL013C']
ATP-binding cassette multidrug transporter PDR12,['YPL058C']
ATP-binding cassette multidrug transporter PDR15,['YDR406W']
ATP-binding cassette multidrug transporter PDR18,['YNR070W']
ATP-binding cassette multidrug transporter PDR5,['YOR153W']
ATP-binding cassette permease MDL1,['YLR188W']
ATP-binding cassette permease MDL2,['YPL270W']
ATP-binding cassette sterol transporter AUS1,['YOR011W']
ATP-binding cassette transporter SNQ2,['YDR011W']
ATP-binding cassette transporter YOR1,['YGR281W']
ATP-binding mismatch repair protein,['YNL082W']
ATP-dependent 5'-3' DNA helicase HCS1,['YKL017C']
ATP-dependent DNA helicase SGS1,['YMR190C']
ATP-dependent DNA helicase YKU70,['YMR284W']
ATP-dependent DNA helicase YKU80,['YMR106C']
ATP-dependent DNA/RNA helicase,['YLR276C']
ATP-dependent Lon protease PIM1,['YBL022C']
ATP-dependent RNA helicase BRR2,['YER172C']
ATP-dependent RNA helicase DBP5,['YOR046C']
ATP-dependent RNA helicase DBP8,['YHR169W']
ATP-dependent RNA helicase ECM16,['YMR128W']
ATP-dependent RNA helicase FAL1,['YDR021W']
ATP-dependent RNA helicase HAS1,['YMR290C']
ATP-dependent RNA helicase MTR4,['YJL050W']
ATP-dependent RNA helicase NAM7,['YMR080C']
ATP-dependent RNA helicase SUB2,['YDL084W']
ATP-dependent RNA helicase SUV3,['YPL029W']
ATP1,['YBL099W']
ATP10,['YLR393W']
ATP11,['YNL315C']
ATP12,['YJL180C']
ATP13,['YMR282C']
ATP14,['YLR295C']
ATP15,['YPL271W']
ATP16,['YDL004W']
ATP17,['YDR377W']
ATP18,['YML081C-A']
ATP19,['YOL077W-A']
ATP2,['YJR121W']
ATP20,['YPR020W']
ATP21,['YDR322C-A']
ATP22,['YDR350C']
ATP23,['YNR020C']
ATP25,['YMR098C']
ATP3,['YBR039W']
ATP4,['YPL078C']
ATP5,['YDR298C']
ATP6,['Q0085']
ATP7,['YKL016C']
ATP8,['Q0080']
ATP9,['Q0130']
ATPEPSILON,['YPL271W']
ATPSV,['YBR127C']
ATPase inhibitor,['YDL181W']
ATPase-activating ribosome biosynthesis protein,['YLR009W']
ATPase-binding protein,['YDL130W-A']
ATPase-stabilizing factor family protein,['YGR008C']
ATR1,['YML116W']
ATR2,['YMR279C']
ATS1,['YAL020C']
ATX1,['YNL259C']
ATX2,['YOR079C']
AUA1,['YFL010W-A']
AUP1,['YCR079W']
AUR1,['YKL004W']
AUS1,['YOR011W']
AUT1,['YNR007C']
AUT10,['YFR021W']
AUT12,['YGL124C']
AUT2,['YNL223W']
AUT3,['YGL180W']
AUT4,['YCL038C']
AUT5,['YCR068W']
AUT7,['YBL078C']
AUT8,['YNL242W']
AUT9,['YDL149W']
AUX1,['YDR320C']
AVL9,['YLR114C']
AVO1,['YOL078W']
AVO2,['YMR068W']
AVO3,['YER093C']
AVT1,['YJR001W']
AVT2,['YEL064C']
AVT3,['YKL146W']
AVT4,['YNL101W']
AVT5,['YBL089W']
AVT6,['YER119C']
AVT7,['YIL088C']
AWS1,['YLR385C']
AXL1,['YPR122W']
AXL2,['YIL140W']
AYR1,['YIL124W']
AYT1,['YLL063C']
AZF1,['YOR113W']
AZR1,['YGR224W']
Arf family GTPase ARF1,['YDL192W']
Arf family GTPase ARF2,['YDL137W']
Arf family GTPase ARF3,['YOR094W']
Arf family GTPase ARL1,['YBR164C']
Arf family GTPase ARL3,['YPL051W']
Arf family GTPase CIN4,['YMR138W']
Arf family GTPase SAR1,['YPL218W']
Arf family guanine nucleotide exchange factor GEA1,['YJR031C']
Arf family guanine nucleotide exchange factor GEA2,['YEL022W']
Arf family guanine nucleotide exchange factor SBH1,['YER087C-B']
Arf family guanine nucleotide exchange factor SBH2,['YER019C-A']
Arf family guanine nucleotide exchange factor SEC7,['YDR170C']
Arf family guanine nucleotide exchange factor SYT1,['YPR095C']
Arf family guanine nucleotide exchange factor YEL1,['YBL060W']
ArgRS,['YDR341C']
AspRS,['YLL018C']
Ax,['YDL130W']
"B""",['YNL039W']
B-type cyclin CLB1,['YGR108W']
B-type cyclin CLB2,['YPR119W']
B-type cyclin CLB3,['YDL155W']
B-type cyclin CLB4,['YLR210W']
B-type cyclin CLB5,['YPR120C']
B-type cyclin CLB6,['YGR109C']
B12.5,['YOL005C']
B12.6,['YGL070C']
B150,['YOR151C']
B16,['YDR404C']
B220,['YDL140C']
B32,['YJL140W']
B44,['YIL021W']
BAF1,['YKL112W']
BAG7,['YOR134W']
BAP1,['YDR463W']
BAP2,['YBR068C']
BAP3,['YDR046C']
BAR1,['YIL015W']
BAS1,['YKR099W']
BAS2,['YDL106C']
BAT2,['YJR148W']
BBC1,['YJL020C']
BBP,['YLR116W']
BBP1,['YPL255W']
BCA1,['YLR077W']
BCD1,['YHR040W']
BCH1,['YMR237W']
BCH2,['YKR027W']
BCK1,['YJL095W']
BCK2,['YER167W']
BCL21,['YPL057C']
BCP1,['YDR361C']
BCS1,['YDR375C']
BCY1,['YIL033C']
BDF1,['YLR399C']
BDF2,['YDL070W']
BDH,['YAL060W']
BDH1,['YAL060W']
BDH2,['YAL061W']
BDP1,['YNL039W']
BDS1,['YOL164W']
BEB1,['YER114C']
BED1,['YDR245W']
BEE1,['YOR181W']
BEL2,['YNL236W']
BEM1,['YBR200W']
BEM2,['YER155C']
BEM3,['YPL115C']
BEM4,['YPL161C']
BER1,['YLR412W']
BET1,['YIL004C']
BET2,['YPR176C']
BET3,['YKR068C']
BET4,['YJL031C']
BET5,['YML077W']
BFA1,['YJR053W']
BFR1,['YOR198C']
BFR2,['YDR299W']
BGL1,['YLR300W']
BGL2,['YGR282C']
BI2,['Q0110']
BI3,['Q0115']
BI4,['Q0120']
BIG1,['YHR101C']
BIK1,['YCL029C']
BIL1,['YOR304C-A']
BIL2,['YGL015C']
BIM1,['YER016W']
BIN2,['YJL014W']
BIN3,['YIL142W']
BIO2,['YGR286C']
BIO3,['YNR058W']
BIO4,['YNR057C']
BIO5,['YNR056C']
BIP,['YJL034W']
BIR1,['YJR089W']
BIT2,['YBR270C']
BIT61,['YJL058C']
BLB1,['YLR408C']
BLC1,['YDR357C']
BLH1,['YNL239W']
BLI1,['YKL061W']
BLM10,['YFL007W']
BLM3,['YER151C']
BMH1,['YER177W']
BMH2,['YDR099W']
BMS1,['YPL217C']
BMT2,['YBR141C']
BMT5,['YIL096C']
BMT6,['YLR063W']
BNA1,['YJR025C']
BNA2,['YJR078W']
BNA3,['YJL060W']
BNA4,['YBL098W']
BNA5,['YLR231C']
BNA6,['YFR047C']
BNA7,['YDR428C']
BNI1,['YNL271C']
BNI4,['YNL233W']
BNI5,['YNL166C']
BNR1,['YIL159W']
BNS1,['YGR230W']
BOI1,['YBL085W']
BOI2,['YER114C']
BOL1,['YAL044W-A']
BOL2,['YGL220W']
BOL3,['YAL046C']
BOP1,['YPL221W']
BOP2,['YLR267W']
BOP3,['YNL042W']
BOR2,['YGL013C']
BOS1,['YLR078C']
BOT2,['YPL117C']
BOT3,['YJL167W']
BPC1,['YDR277C']
BPH1,['YCR032W']
BPL1,['YDL141W']
BPT1,['YLL015W']
BRA1,['YLR359W']
BRA3,['YDR454C']
BRA6,['YDR399W']
BRA7,['YER056C']
BRA8,['YLR359W']
BRA9,['YNL220W']
BRE1,['YDL074C']
BRE2,['YLR015W']
BRE3,['YNL323W']
BRE4,['YDL231C']
BRE5,['YNR051C']
BRF1,['YGR246C']
BRL1,['YHR036W']
BRN1,['YBL097W']
BRO1,['YPL084W']
BRP1,['YGL007W']
BRP2,['YHL010C']
BRR1,['YPR057W']
BRR2,['YER172C']
BRR3,['YDL207W']
BRR5,['YLR277C']
BRR6,['YGL247W']
BRX1,['YOL077C']
BRY1,['YHR206W']
BSC1,['YDL037C']
BSC2,['YDR275W']
BSC3,['YLR465C']
BSC4,['YNL269W']
BSC5,['YNR069C']
BSC6,['YOL137W']
BSD1,['YGL167C']
BSD2,['YBR290W']
BSH1,['YPR117W']
BSP1,['YPR171W']
BSR2,['YGR202C']
BSR3,['YPL145C']
BST2,['YGL200C']
BTAF1,['YPL082C']
BTF1,['YER148W']
BTN1,['YJL059W']
BTN2,['YGR142W']
BTN3,['YHR009C']
BTS1,['YPL069C']
BTT1,['YDR252W']
BUB1,['YGR188C']
BUB2,['YMR055C']
BUB3,['YOR026W']
BUD1,['YGR152C']
BUD10,['YIL140W']
BUD13,['YGL174W']
BUD14,['YAR014C']
BUD15,['YBL047C']
BUD16,['YEL029C']
BUD17,['YNR027W']
BUD18,['YER044C']
BUD19,['YJL188C']
BUD2,['YKL092C']
BUD20,['YLR074C']
BUD21,['YOR078W']
BUD22,['YMR014W']
BUD23,['YCR047C']
BUD24,['YDR320C']
BUD25,['YER014C-A']
BUD26,['YDR241W']
BUD27,['YFL023W']
BUD28,['YLR062C']
BUD29,['YOL072W']
BUD3,['YCL014W']
BUD30,['YDL151C']
BUD31,['YCR063W']
BUD32,['YGR262C']
BUD4,['YJR092W']
BUD5,['YCR038C']
BUD6,['YLR319C']
BUD7,['YOR299W']
BUD8,['YLR353W']
BUD9,['YGR041W']
BUF1,['YNL312W']
BUF2,['YAR007C']
BUG1,['YDL099W']
BUL1,['YMR275C']
BUL2,['YML111W']
BUR1,['YPR161C']
BUR2,['YLR226W']
BUR3,['YPL082C']
BUR5,['YBR010W']
