Systematic Name,Standard Name,Sgd Alias,Description,gene_link
Q0250,COX2,cytochrome c oxidase subunit 2|OXI1|OXII,Subunit II of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits,<a href='https://www.yeastgenome.org/locus/Q0250' target='_blank'>Q0250</a>
Q0255, ,maturase-like protein|ORF1|RF1,Maturase-like protein,<a href='https://www.yeastgenome.org/locus/Q0255' target='_blank'>Q0255</a>
Q0275,COX3,cytochrome c oxidase subunit 3|OXI2,Subunit III of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits,<a href='https://www.yeastgenome.org/locus/Q0275' target='_blank'>Q0275</a>
Q0297, ,ORF12,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene RPM1",<a href='https://www.yeastgenome.org/locus/Q0297' target='_blank'>Q0297</a>
R0010W,FLP1, ,Site-specific recombinase encoded on the 2-micron plasmid; required for 2-micron plasmid propagation as part of a plasmid amplification system that compensates for any copy number decreases caused by missegregation events,<a href='https://www.yeastgenome.org/locus/R0010W' target='_blank'>R0010W</a>
R0020C,REP1, ,Master regulator that regulates transcript levels of the FLP1 gene; acts in concert with Rep2p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification and 2-micron plasmid-inheritance; also autoregulates levels of its own transcript; both Rep1p and Rep2p are sumoylated which is important for function,<a href='https://www.yeastgenome.org/locus/R0020C' target='_blank'>R0020C</a>
R0030W,RAF1, ,Anti-repressor that increases 2 micron plasmid copy number; increases 2 micron plasmid copy number by relieving repression of the FLP1 site-specific recombinase caused by the Rep1-Rep2p trascription regulator; also itself repressed by the Rep1p-Rep2p complex,<a href='https://www.yeastgenome.org/locus/R0030W' target='_blank'>R0030W</a>
R0040C,REP2, ,Master regulator that regulates transcript levels of the FLP1 gene; acts in concert with Rep1p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification and 2-micron plasmid-inheritance; also autoregulates levels of its own transcript; required for Rep1p stability; both Rep1p and Rep2p are sumoylated which is important for function,<a href='https://www.yeastgenome.org/locus/R0040C' target='_blank'>R0040C</a>
YAL001C,TFC3,FUN24|tau 138|transcription factor TFIIIC subunit TFC3|TSV115,Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (“extra TFIIIC)” sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes,<a href='https://www.yeastgenome.org/locus/YAL001C' target='_blank'>YAL001C</a>
YAL002W,VPS8,CORVET complex membrane-binding subunit VPS8|FUN15|VPL8|VPT8,Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif,<a href='https://www.yeastgenome.org/locus/YAL002W' target='_blank'>YAL002W</a>
YAL003W,EFB1,eEF1Balpha|EF-1beta|TEF5|translation elongation factor 1 subunit beta,"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants",<a href='https://www.yeastgenome.org/locus/YAL003W' target='_blank'>YAL003W</a>
YAL004W, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C",<a href='https://www.yeastgenome.org/locus/YAL004W' target='_blank'>YAL004W</a>
YAL005C,SSA1,Hsp70 family ATPase SSA1|YG100,"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils",<a href='https://www.yeastgenome.org/locus/YAL005C' target='_blank'>YAL005C</a>
YAL007C,ERP2, ,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL007C' target='_blank'>YAL007C</a>
YAL008W,FUN14,MCP3,"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis",<a href='https://www.yeastgenome.org/locus/YAL008W' target='_blank'>YAL008W</a>
YAL009W,SPO7,Nem1-Spo7 phosphatase regulatory subunit SPO7,"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation",<a href='https://www.yeastgenome.org/locus/YAL009W' target='_blank'>YAL009W</a>
YAL010C,MDM10,FUN37,"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase",<a href='https://www.yeastgenome.org/locus/YAL010C' target='_blank'>YAL010C</a>
YAL011W,SWC3,SWC1,"Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",<a href='https://www.yeastgenome.org/locus/YAL011W' target='_blank'>YAL011W</a>
YAL012W,CYS3,CYI1|cystathionine gamma-lyase CYS3|FUN35|STR1,Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress,<a href='https://www.yeastgenome.org/locus/YAL012W' target='_blank'>YAL012W</a>
YAL013W,DEP1,FUN54|Rpd3L histone deacetylase complex subunit DEP1,"Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation",<a href='https://www.yeastgenome.org/locus/YAL013W' target='_blank'>YAL013W</a>
YAL014C,SYN8,SLT2|syntaxin|UIP2,Endosomal SNARE related to mammalian syntaxin 8,<a href='https://www.yeastgenome.org/locus/YAL014C' target='_blank'>YAL014C</a>
YAL015C,NTG1,bifunctional N-glycosylase/AP lyase NTG1|FUN33|ogg2|SCR1,"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL015C' target='_blank'>YAL015C</a>
YAL016C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W",<a href='https://www.yeastgenome.org/locus/YAL016C-A' target='_blank'>YAL016C-A</a>
YAL016C-B, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/YAL016C-B' target='_blank'>YAL016C-B</a>
YAL016W,TPD3,FUN32|protein phosphatase 2A structural subunit TPD3,Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III,<a href='https://www.yeastgenome.org/locus/YAL016W' target='_blank'>YAL016W</a>
YAL017W,PSK1,FUN31|serine/threonine protein kinase PSK1,"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL017W' target='_blank'>YAL017W</a>
YAL018C,LDS1, ,"Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants",<a href='https://www.yeastgenome.org/locus/YAL018C' target='_blank'>YAL018C</a>
YAL019W,FUN30,DNA-dependent ATPase FUN30,"Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate",<a href='https://www.yeastgenome.org/locus/YAL019W' target='_blank'>YAL019W</a>
YAL019W-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C",<a href='https://www.yeastgenome.org/locus/YAL019W-A' target='_blank'>YAL019W-A</a>
YAL020C,ATS1,FUN28|KTI13,"Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p",<a href='https://www.yeastgenome.org/locus/YAL020C' target='_blank'>YAL020C</a>
YAL021C,CCR4,CCR4-NOT core exoribonuclease subunit CCR4|FUN27|NUT21,"Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening",<a href='https://www.yeastgenome.org/locus/YAL021C' target='_blank'>YAL021C</a>
YAL022C,FUN26,nucleoside transmembrane transporter FUN26,"High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member",<a href='https://www.yeastgenome.org/locus/YAL022C' target='_blank'>YAL022C</a>
YAL023C,PMT2,dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25,"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL023C' target='_blank'>YAL023C</a>
YAL024C,LTE1,mitotic regulator LTE1|MSI2,Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures,<a href='https://www.yeastgenome.org/locus/YAL024C' target='_blank'>YAL024C</a>
YAL025C,MAK16,ribosome biosynthesis protein MAK16,Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus,<a href='https://www.yeastgenome.org/locus/YAL025C' target='_blank'>YAL025C</a>
YAL026C,DRS2,aminophospholipid-translocating P4-type ATPase DRS2|FUN38|SWA3,"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease",<a href='https://www.yeastgenome.org/locus/YAL026C' target='_blank'>YAL026C</a>
YAL026C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2",<a href='https://www.yeastgenome.org/locus/YAL026C-A' target='_blank'>YAL026C-A</a>
YAL027W,SAW1,DNA-binding protein SAW1,5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus,<a href='https://www.yeastgenome.org/locus/YAL027W' target='_blank'>YAL027W</a>
YAL028W,FRT2,HPH2,"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL028W' target='_blank'>YAL028W</a>
YAL029C,MYO4,FUN22|myosin 4|SHE1,"Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL029C' target='_blank'>YAL029C</a>
YAL030W,SNC1,SNAP receptor SNC1,"Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL030W' target='_blank'>YAL030W</a>
YAL031C,GIP4,FUN21|protein phosphatase regulator GIP4,Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate,<a href='https://www.yeastgenome.org/locus/YAL031C' target='_blank'>YAL031C</a>
YAL031W-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C",<a href='https://www.yeastgenome.org/locus/YAL031W-A' target='_blank'>YAL031W-A</a>
YAL032C,PRP45,FUN20|mRNA splicing protein PRP45,Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene,<a href='https://www.yeastgenome.org/locus/YAL032C' target='_blank'>YAL032C</a>
YAL033W,POP5,FUN53|RNA-binding protein POP5,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs",<a href='https://www.yeastgenome.org/locus/YAL033W' target='_blank'>YAL033W</a>
YAL034C,FUN19, ,"Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL034C' target='_blank'>YAL034C</a>
YAL034C-B, ,YAL035C-A,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/YAL034C-B' target='_blank'>YAL034C-B</a>
YAL034W-A,MTW1,DSN3|MIND complex subunit MTW1|NSL2,Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND),<a href='https://www.yeastgenome.org/locus/YAL034W-A' target='_blank'>YAL034W-A</a>
YAL035W,FUN12,eIF5B|translation initiation factor eIF5B|yIF2,Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2,<a href='https://www.yeastgenome.org/locus/YAL035W' target='_blank'>YAL035W</a>
YAL036C,RBG1,FUN11|GTP-binding protein RBG1,"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid",<a href='https://www.yeastgenome.org/locus/YAL036C' target='_blank'>YAL036C</a>
YAL037C-A, , ,Putative protein of unknown function,<a href='https://www.yeastgenome.org/locus/YAL037C-A' target='_blank'>YAL037C-A</a>
YAL037C-B, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",<a href='https://www.yeastgenome.org/locus/YAL037C-B' target='_blank'>YAL037C-B</a>
YAL037W, , ,"Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL037W' target='_blank'>YAL037W</a>
YAL038W,CDC19,PYK1|pyruvate kinase CDC19,"Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL038W' target='_blank'>YAL038W</a>
YAL039C,CYC3,CCHL|holocytochrome c synthase CYC3,"Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant",<a href='https://www.yeastgenome.org/locus/YAL039C' target='_blank'>YAL039C</a>
YAL040C,CLN3,cyclin CLN3|DAF1|FUN10|WHI1,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1",<a href='https://www.yeastgenome.org/locus/YAL040C' target='_blank'>YAL040C</a>
YAL041W,CDC24,CLS4|Rho family guanine nucleotide exchange factor CDC24,"Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42",<a href='https://www.yeastgenome.org/locus/YAL041W' target='_blank'>YAL041W</a>
YAL042C-A, ,YAL043C-A,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene",<a href='https://www.yeastgenome.org/locus/YAL042C-A' target='_blank'>YAL042C-A</a>
YAL042W,ERV46,FUN9,Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport,<a href='https://www.yeastgenome.org/locus/YAL042W' target='_blank'>YAL042W</a>
YAL043C,PTA1,FUN39|RNA-processing protein PTA1,"Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII",<a href='https://www.yeastgenome.org/locus/YAL043C' target='_blank'>YAL043C</a>
YAL044C,GCV3,glycine decarboxylase subunit H,"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",<a href='https://www.yeastgenome.org/locus/YAL044C' target='_blank'>YAL044C</a>
YAL044W-A,BOL1, ,"Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein",<a href='https://www.yeastgenome.org/locus/YAL044W-A' target='_blank'>YAL044W-A</a>
YAL045C, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A",<a href='https://www.yeastgenome.org/locus/YAL045C' target='_blank'>YAL045C</a>
YAL046C,BOL3,AIM1,"Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)",<a href='https://www.yeastgenome.org/locus/YAL046C' target='_blank'>YAL046C</a>
