Systematic Name,Standard Name,protein_domain,Domain Description,Start Coordinate,End Coordinate,term_link,gene_link
YAL063C,FLO9,PF13928,Flocculin type 3 repeat; Flocculin type 3 repeat,1092,1135,<a href='https://pfam.xfam.org/family/PF13928' target='_blank'>PF13928</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL062W,GDH3,PF00208,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase; Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal",185,454,<a href='https://pfam.xfam.org/family/PF00208' target='_blank'>PF00208</a>,<a href='https://www.yeastgenome.org/locus/YAL062W/protein' target='_blank'>YAL062W</a>
YAL062W,GDH3,PF02812,"Glu/Leu/Phe/Val dehydrogenase, dimerisation domain; Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain",40,167,<a href='https://pfam.xfam.org/family/PF02812' target='_blank'>PF02812</a>,<a href='https://www.yeastgenome.org/locus/YAL062W/protein' target='_blank'>YAL062W</a>
YAL061W,BDH2,PF00107,"Zinc-binding dehydrogenase; Alcohol dehydrogenase, C-terminal",200,332,<a href='https://pfam.xfam.org/family/PF00107' target='_blank'>PF00107</a>,<a href='https://www.yeastgenome.org/locus/YAL061W/protein' target='_blank'>YAL061W</a>
YAL061W,BDH2,PF08240,"Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase, N-terminal",26,160,<a href='https://pfam.xfam.org/family/PF08240' target='_blank'>PF08240</a>,<a href='https://www.yeastgenome.org/locus/YAL061W/protein' target='_blank'>YAL061W</a>
YAL060W,BDH1,PF00107,"Zinc-binding dehydrogenase; Alcohol dehydrogenase, C-terminal",200,330,<a href='https://pfam.xfam.org/family/PF00107' target='_blank'>PF00107</a>,<a href='https://www.yeastgenome.org/locus/YAL060W/protein' target='_blank'>YAL060W</a>
YAL060W,BDH1,PF08240,"Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase, N-terminal",27,160,<a href='https://pfam.xfam.org/family/PF08240' target='_blank'>PF08240</a>,<a href='https://www.yeastgenome.org/locus/YAL060W/protein' target='_blank'>YAL060W</a>
YAL059W,ECM1,PF09135,Alb1; Ribosome biogenesis protein Alb1,31,152,<a href='https://pfam.xfam.org/family/PF09135' target='_blank'>PF09135</a>,<a href='https://www.yeastgenome.org/locus/YAL059W/protein' target='_blank'>YAL059W</a>
YAL058W,CNE1,PF00262,Calreticulin family; Calreticulin/calnexin,33,413,<a href='https://pfam.xfam.org/family/PF00262' target='_blank'>PF00262</a>,<a href='https://www.yeastgenome.org/locus/YAL058W/protein' target='_blank'>YAL058W</a>
YAL055W,PEX22,PF12827,Peroxisomal biogenesis protein family; Peroxisome assembly protein 22,53,166,<a href='https://pfam.xfam.org/family/PF12827' target='_blank'>PF12827</a>,<a href='https://www.yeastgenome.org/locus/YAL055W/protein' target='_blank'>YAL055W</a>
YAL054C,ACS1,PF00501,AMP-binding enzyme; AMP-dependent synthetase/ligase,139,581,<a href='https://pfam.xfam.org/family/PF00501' target='_blank'>PF00501</a>,<a href='https://www.yeastgenome.org/locus/YAL054C/protein' target='_blank'>YAL054C</a>
YAL054C,ACS1,PF13193,"AMP-binding enzyme C-terminal domain; AMP-binding enzyme, C-terminal domain",590,675,<a href='https://pfam.xfam.org/family/PF13193' target='_blank'>PF13193</a>,<a href='https://www.yeastgenome.org/locus/YAL054C/protein' target='_blank'>YAL054C</a>
YAL054C,ACS1,PF16177,"Acetyl-coenzyme A synthetase N-terminus; Acetyl-coenzyme A synthetase, N-terminal domain",76,137,<a href='https://pfam.xfam.org/family/PF16177' target='_blank'>PF16177</a>,<a href='https://www.yeastgenome.org/locus/YAL054C/protein' target='_blank'>YAL054C</a>
YAL053W,FLC2,PF06011,"Transient receptor potential (TRP) ion channel; TRP, C-terminal",183,628,<a href='https://pfam.xfam.org/family/PF06011' target='_blank'>PF06011</a>,<a href='https://www.yeastgenome.org/locus/YAL053W/protein' target='_blank'>YAL053W</a>
YAL053W,FLC2,PF14558,ML-like domain; ML-like domain,38,177,<a href='https://pfam.xfam.org/family/PF14558' target='_blank'>PF14558</a>,<a href='https://www.yeastgenome.org/locus/YAL053W/protein' target='_blank'>YAL053W</a>
YAL051W,OAF1,PF00172,Fungal Zn(2)-Cys(6) binuclear cluster domain; Zn(2)-C6 fungal-type DNA-binding domain,65,100,<a href='https://pfam.xfam.org/family/PF00172' target='_blank'>PF00172</a>,<a href='https://www.yeastgenome.org/locus/YAL051W/protein' target='_blank'>YAL051W</a>
YAL049C,AIM2,PF01738,Dienelactone hydrolase family; Dienelactone hydrolase,30,243,<a href='https://pfam.xfam.org/family/PF01738' target='_blank'>PF01738</a>,<a href='https://www.yeastgenome.org/locus/YAL049C/protein' target='_blank'>YAL049C</a>
YAL048C,GEM1,PF00071,Ras family; Small GTPase,7,183,<a href='https://pfam.xfam.org/family/PF00071' target='_blank'>PF00071</a>,<a href='https://www.yeastgenome.org/locus/YAL048C/protein' target='_blank'>YAL048C</a>
YAL048C,GEM1,PF00071,Ras family; Small GTPase,452,609,<a href='https://pfam.xfam.org/family/PF00071' target='_blank'>PF00071</a>,<a href='https://www.yeastgenome.org/locus/YAL048C/protein' target='_blank'>YAL048C</a>
YAL048C,GEM1,PF08355,"EF hand associated; EF hand associated, type-1",369,436,<a href='https://pfam.xfam.org/family/PF08355' target='_blank'>PF08355</a>,<a href='https://www.yeastgenome.org/locus/YAL048C/protein' target='_blank'>YAL048C</a>
YAL048C,GEM1,PF08356,"EF hand associated; EF hand associated, type-2",264,331,<a href='https://pfam.xfam.org/family/PF08356' target='_blank'>PF08356</a>,<a href='https://www.yeastgenome.org/locus/YAL048C/protein' target='_blank'>YAL048C</a>
YAL047C,SPC72,PF12808,Micro-tubular organiser Mto1 C-term Mto2-binding region; Mto2p-binding domain,574,614,<a href='https://pfam.xfam.org/family/PF12808' target='_blank'>PF12808</a>,<a href='https://www.yeastgenome.org/locus/YAL047C/protein' target='_blank'>YAL047C</a>
YAL046C,BOL3,PF01722,BolA-like protein; BolA protein,46,108,<a href='https://pfam.xfam.org/family/PF01722' target='_blank'>PF01722</a>,<a href='https://www.yeastgenome.org/locus/YAL046C/protein' target='_blank'>YAL046C</a>
YAL044W-A,BOL1,PF01722,BolA-like protein; BolA protein,34,104,<a href='https://pfam.xfam.org/family/PF01722' target='_blank'>PF01722</a>,<a href='https://www.yeastgenome.org/locus/YAL044W-A/protein' target='_blank'>YAL044W-A</a>
YAL044C,GCV3,PF01597,Glycine cleavage H-protein; Glycine cleavage system H-protein/Simiate,46,168,<a href='https://pfam.xfam.org/family/PF01597' target='_blank'>PF01597</a>,<a href='https://www.yeastgenome.org/locus/YAL044C/protein' target='_blank'>YAL044C</a>
YAL043C,PTA1,PF11935,"Domain of unknown function (DUF3453); Symplekin/Pta1, N-terminal",91,333,<a href='https://pfam.xfam.org/family/PF11935' target='_blank'>PF11935</a>,<a href='https://www.yeastgenome.org/locus/YAL043C/protein' target='_blank'>YAL043C</a>
YAL042W,ERV46,PF13850,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC); Endoplasmic reticulum vesicle transporter, N-terminal",8,95,<a href='https://pfam.xfam.org/family/PF13850' target='_blank'>PF13850</a>,<a href='https://www.yeastgenome.org/locus/YAL042W/protein' target='_blank'>YAL042W</a>
YAL042W,ERV46,PF07970,"Endoplasmic reticulum vesicle transporter; Endoplasmic reticulum vesicle transporter, C-terminal",143,399,<a href='https://pfam.xfam.org/family/PF07970' target='_blank'>PF07970</a>,<a href='https://www.yeastgenome.org/locus/YAL042W/protein' target='_blank'>YAL042W</a>
YAL041W,CDC24,PF00621,RhoGEF domain; Dbl homology (DH) domain,282,452,<a href='https://pfam.xfam.org/family/PF00621' target='_blank'>PF00621</a>,<a href='https://www.yeastgenome.org/locus/YAL041W/protein' target='_blank'>YAL041W</a>
YAL041W,CDC24,PF06395,"CDC24 Calponin; Cdc24/Scd1, N-terminal",156,242,<a href='https://pfam.xfam.org/family/PF06395' target='_blank'>PF06395</a>,<a href='https://www.yeastgenome.org/locus/YAL041W/protein' target='_blank'>YAL041W</a>
YAL041W,CDC24,PF15411,Pleckstrin homology domain,481,663,<a href='https://pfam.xfam.org/family/PF15411' target='_blank'>PF15411</a>,<a href='https://www.yeastgenome.org/locus/YAL041W/protein' target='_blank'>YAL041W</a>
YAL040C,CLN3,PF00134,"Cyclin, N-terminal domain; Cyclin, N-terminal",84,206,<a href='https://pfam.xfam.org/family/PF00134' target='_blank'>PF00134</a>,<a href='https://www.yeastgenome.org/locus/YAL040C/protein' target='_blank'>YAL040C</a>
YAL039C,CYC3,PF01265,Cytochrome c/c1 heme lyase; Cytochrome c/c1 haem-lyase,1,253,<a href='https://pfam.xfam.org/family/PF01265' target='_blank'>PF01265</a>,<a href='https://www.yeastgenome.org/locus/YAL039C/protein' target='_blank'>YAL039C</a>
YAL038W,CDC19,PF00224,"Pyruvate kinase, barrel domain; Pyruvate kinase, barrel",19,362,<a href='https://pfam.xfam.org/family/PF00224' target='_blank'>PF00224</a>,<a href='https://www.yeastgenome.org/locus/YAL038W/protein' target='_blank'>YAL038W</a>
YAL038W,CDC19,PF02887,"Pyruvate kinase, alpha/beta domain; Pyruvate kinase, C-terminal",380,497,<a href='https://pfam.xfam.org/family/PF02887' target='_blank'>PF02887</a>,<a href='https://www.yeastgenome.org/locus/YAL038W/protein' target='_blank'>YAL038W</a>
YAL036C,RBG1,PF01926,50S ribosome-binding GTPase; GTP binding domain,68,168,<a href='https://pfam.xfam.org/family/PF01926' target='_blank'>PF01926</a>,<a href='https://www.yeastgenome.org/locus/YAL036C/protein' target='_blank'>YAL036C</a>
YAL036C,RBG1,PF02824,TGS domain; TGS,294,368,<a href='https://pfam.xfam.org/family/PF02824' target='_blank'>PF02824</a>,<a href='https://www.yeastgenome.org/locus/YAL036C/protein' target='_blank'>YAL036C</a>
YAL036C,RBG1,PF16897,"C-terminal region of MMR_HSR1 domain; GTP binding protein, second domain",187,293,<a href='https://pfam.xfam.org/family/PF16897' target='_blank'>PF16897</a>,<a href='https://www.yeastgenome.org/locus/YAL036C/protein' target='_blank'>YAL036C</a>
YAL035W,FUN12,PF11987,"Translation-initiation factor 2; Translation initiation factor IF- 2, domain 3",750,843,<a href='https://pfam.xfam.org/family/PF11987' target='_blank'>PF11987</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/protein' target='_blank'>YAL035W</a>
YAL035W,FUN12,PF00009,Elongation factor Tu GTP binding domain; Translational (tr)-type GTP-binding domain,407,616,<a href='https://pfam.xfam.org/family/PF00009' target='_blank'>PF00009</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/protein' target='_blank'>YAL035W</a>
YAL035W,FUN12,PF03144,"Elongation factor Tu domain 2; Translation elongation factor EFTu-like, domain 2",644,719,<a href='https://pfam.xfam.org/family/PF03144' target='_blank'>PF03144</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/protein' target='_blank'>YAL035W</a>
YAL034W-A,MTW1,PF05859,Mis12 protein; Centromere protein Mis12,11,144,<a href='https://pfam.xfam.org/family/PF05859' target='_blank'>PF05859</a>,<a href='https://www.yeastgenome.org/locus/YAL034W-A/protein' target='_blank'>YAL034W-A</a>
YAL034C,FUN19,PF04433,SWIRM domain; SWIRM domain,334,404,<a href='https://pfam.xfam.org/family/PF04433' target='_blank'>PF04433</a>,<a href='https://www.yeastgenome.org/locus/YAL034C/protein' target='_blank'>YAL034C</a>
YAL033W,POP5,PF01900,Rpp14/Pop5 family; Ribonuclease P/MRP protein subunit,7,130,<a href='https://pfam.xfam.org/family/PF01900' target='_blank'>PF01900</a>,<a href='https://www.yeastgenome.org/locus/YAL033W/protein' target='_blank'>YAL033W</a>
YAL032C,PRP45,PF02731,"SKIP/SNW domain; SKI-interacting protein SKIP, SNW domain",107,250,<a href='https://pfam.xfam.org/family/PF02731' target='_blank'>PF02731</a>,<a href='https://www.yeastgenome.org/locus/YAL032C/protein' target='_blank'>YAL032C</a>
YAL030W,SNC1,PF00957,Synaptobrevin; Synaptobrevin,26,111,<a href='https://pfam.xfam.org/family/PF00957' target='_blank'>PF00957</a>,<a href='https://www.yeastgenome.org/locus/YAL030W/protein' target='_blank'>YAL030W</a>
YAL029C,MYO4,PF00063,"Myosin head (motor domain); Myosin head, motor domain",73,765,<a href='https://pfam.xfam.org/family/PF00063' target='_blank'>PF00063</a>,<a href='https://www.yeastgenome.org/locus/YAL029C/protein' target='_blank'>YAL029C</a>
YAL029C,MYO4,PF00612,"IQ calmodulin-binding motif; IQ motif, EF-hand binding site",901,919,<a href='https://pfam.xfam.org/family/PF00612' target='_blank'>PF00612</a>,<a href='https://www.yeastgenome.org/locus/YAL029C/protein' target='_blank'>YAL029C</a>
YAL029C,MYO4,PF01843,DIL domain; Dilute domain,1299,1398,<a href='https://pfam.xfam.org/family/PF01843' target='_blank'>PF01843</a>,<a href='https://www.yeastgenome.org/locus/YAL029C/protein' target='_blank'>YAL029C</a>
YAL028W,FRT2,PF13694,Sec63/Sec62 complex-interacting family; High pH protein family,86,278,<a href='https://pfam.xfam.org/family/PF13694' target='_blank'>PF13694</a>,<a href='https://www.yeastgenome.org/locus/YAL028W/protein' target='_blank'>YAL028W</a>
YAL027W,SAW1,PF11561,Single strand annealing-weakened 1; Single-strand annealing weakened protein 1,1,243,<a href='https://pfam.xfam.org/family/PF11561' target='_blank'>PF11561</a>,<a href='https://www.yeastgenome.org/locus/YAL027W/protein' target='_blank'>YAL027W</a>
YAL026C,DRS2,PF13246,Cation transport ATPase (P-type),641,731,<a href='https://pfam.xfam.org/family/PF13246' target='_blank'>PF13246</a>,<a href='https://www.yeastgenome.org/locus/YAL026C/protein' target='_blank'>YAL026C</a>
YAL026C,DRS2,PF16209,"Phospholipid-translocating ATPase N-terminal; P-type ATPase, N-terminal",185,251,<a href='https://pfam.xfam.org/family/PF16209' target='_blank'>PF16209</a>,<a href='https://www.yeastgenome.org/locus/YAL026C/protein' target='_blank'>YAL026C</a>
YAL026C,DRS2,PF16212,"Phospholipid-translocating P-type ATPase C-terminal; P-type ATPase, C-terminal",980,1232,<a href='https://pfam.xfam.org/family/PF16212' target='_blank'>PF16212</a>,<a href='https://www.yeastgenome.org/locus/YAL026C/protein' target='_blank'>YAL026C</a>
YAL025C,MAK16,PF01778,Ribosomal L28e protein family; Ribosomal L28e/Mak16,5,117,<a href='https://pfam.xfam.org/family/PF01778' target='_blank'>PF01778</a>,<a href='https://www.yeastgenome.org/locus/YAL025C/protein' target='_blank'>YAL025C</a>
YAL025C,MAK16,PF04874,Mak16 protein C-terminal region; Mak16 protein,139,235,<a href='https://pfam.xfam.org/family/PF04874' target='_blank'>PF04874</a>,<a href='https://www.yeastgenome.org/locus/YAL025C/protein' target='_blank'>YAL025C</a>
YAL024C,LTE1,PF00617,RasGEF domain; Ras guanine-nucleotide exchange factors catalytic domain,1198,1387,<a href='https://pfam.xfam.org/family/PF00617' target='_blank'>PF00617</a>,<a href='https://www.yeastgenome.org/locus/YAL024C/protein' target='_blank'>YAL024C</a>
YAL024C,LTE1,PF00618,"RasGEF N-terminal motif; Ras-like guanine nucleotide exchange factor, N-terminal",29,133,<a href='https://pfam.xfam.org/family/PF00618' target='_blank'>PF00618</a>,<a href='https://www.yeastgenome.org/locus/YAL024C/protein' target='_blank'>YAL024C</a>
YAL023C,PMT2,PF02366,Dolichyl-phosphate-mannose-protein mannosyltransferase; Glycosyl transferase family 39/83,69,312,<a href='https://pfam.xfam.org/family/PF02366' target='_blank'>PF02366</a>,<a href='https://www.yeastgenome.org/locus/YAL023C/protein' target='_blank'>YAL023C</a>
YAL023C,PMT2,PF02815,MIR domain; MIR motif,360,520,<a href='https://pfam.xfam.org/family/PF02815' target='_blank'>PF02815</a>,<a href='https://www.yeastgenome.org/locus/YAL023C/protein' target='_blank'>YAL023C</a>
YAL023C,PMT2,PF16192,"C-terminal four TMM region of protein-O-mannosyltransferase; Protein O-mannosyl-transferase, C-terminal four TM domain",548,751,<a href='https://pfam.xfam.org/family/PF16192' target='_blank'>PF16192</a>,<a href='https://www.yeastgenome.org/locus/YAL023C/protein' target='_blank'>YAL023C</a>
YAL022C,FUN26,PF01733,Nucleoside transporter; Equilibrative nucleoside transporter,180,510,<a href='https://pfam.xfam.org/family/PF01733' target='_blank'>PF01733</a>,<a href='https://www.yeastgenome.org/locus/YAL022C/protein' target='_blank'>YAL022C</a>
YAL021C,CCR4,PF12799,Leucine Rich repeats (2 copies); Leucine rich repeat 4,359,396,<a href='https://pfam.xfam.org/family/PF12799' target='_blank'>PF12799</a>,<a href='https://www.yeastgenome.org/locus/YAL021C/protein' target='_blank'>YAL021C</a>
YAL021C,CCR4,PF03372,Endonuclease/Exonuclease/phosphatase family; Endonuclease/exonuclease/phosphatase,508,818,<a href='https://pfam.xfam.org/family/PF03372' target='_blank'>PF03372</a>,<a href='https://www.yeastgenome.org/locus/YAL021C/protein' target='_blank'>YAL021C</a>
YAL020C,ATS1,PF00415,"Regulator of chromosome condensation (RCC1) repeat; Regulator of chromosome condensation, RCC1",3,51,<a href='https://pfam.xfam.org/family/PF00415' target='_blank'>PF00415</a>,<a href='https://www.yeastgenome.org/locus/YAL020C/protein' target='_blank'>YAL020C</a>
YAL019W,FUN30,PF00176,"SNF2 family N-terminal domain; SNF2-related, N-terminal domain",585,880,<a href='https://pfam.xfam.org/family/PF00176' target='_blank'>PF00176</a>,<a href='https://www.yeastgenome.org/locus/YAL019W/protein' target='_blank'>YAL019W</a>
YAL019W,FUN30,PF00271,"Helicase conserved C-terminal domain; Helicase, C-terminal",950,1063,<a href='https://pfam.xfam.org/family/PF00271' target='_blank'>PF00271</a>,<a href='https://www.yeastgenome.org/locus/YAL019W/protein' target='_blank'>YAL019W</a>
YAL017W,PSK1,PF00069,Protein kinase domain; Protein kinase domain,1097,1354,<a href='https://pfam.xfam.org/family/PF00069' target='_blank'>PF00069</a>,<a href='https://www.yeastgenome.org/locus/YAL017W/protein' target='_blank'>YAL017W</a>
YAL016W,TPD3,PF13646,HEAT repeats,402,502,<a href='https://pfam.xfam.org/family/PF13646' target='_blank'>PF13646</a>,<a href='https://www.yeastgenome.org/locus/YAL016W/protein' target='_blank'>YAL016W</a>
YAL015C,NTG1,PF00633,Helix-hairpin-helix motif; Helix-hairpin-helix motif,223,247,<a href='https://pfam.xfam.org/family/PF00633' target='_blank'>PF00633</a>,<a href='https://www.yeastgenome.org/locus/YAL015C/protein' target='_blank'>YAL015C</a>
YAL015C,NTG1,PF00730,HhH-GPD superfamily base excision DNA repair protein; HhH-GPD domain,149,295,<a href='https://pfam.xfam.org/family/PF00730' target='_blank'>PF00730</a>,<a href='https://www.yeastgenome.org/locus/YAL015C/protein' target='_blank'>YAL015C</a>
YAL013W,DEP1,PF08598,Sds3-like; Sds3-like,182,401,<a href='https://pfam.xfam.org/family/PF08598' target='_blank'>PF08598</a>,<a href='https://www.yeastgenome.org/locus/YAL013W/protein' target='_blank'>YAL013W</a>
YAL012W,CYS3,PF01053,"Cys/Met metabolism PLP-dependent enzyme; Cys/Met metabolism, pyridoxal phosphate-dependent enzyme",10,390,<a href='https://pfam.xfam.org/family/PF01053' target='_blank'>PF01053</a>,<a href='https://www.yeastgenome.org/locus/YAL012W/protein' target='_blank'>YAL012W</a>
YAL010C,MDM10,PF12519,Mitochondrial distribution and morphology protein 10; Mitochondrial distribution and morphology protein 10,1,493,<a href='https://pfam.xfam.org/family/PF12519' target='_blank'>PF12519</a>,<a href='https://www.yeastgenome.org/locus/YAL010C/protein' target='_blank'>YAL010C</a>
YAL009W,SPO7,PF03907,Spo7-like protein; Sporulation-specific protein Spo7,45,249,<a href='https://pfam.xfam.org/family/PF03907' target='_blank'>PF03907</a>,<a href='https://www.yeastgenome.org/locus/YAL009W/protein' target='_blank'>YAL009W</a>
YAL008W,FUN14,PF04930,FUN14 family; FUN14,107,166,<a href='https://pfam.xfam.org/family/PF04930' target='_blank'>PF04930</a>,<a href='https://www.yeastgenome.org/locus/YAL008W/protein' target='_blank'>YAL008W</a>
YAL007C,ERP2,PF01105,emp24/gp25L/p24 family/GOLD; GOLD domain,34,207,<a href='https://pfam.xfam.org/family/PF01105' target='_blank'>PF01105</a>,<a href='https://www.yeastgenome.org/locus/YAL007C/protein' target='_blank'>YAL007C</a>
YAL005C,SSA1,PF00012,Hsp70 protein; Heat shock protein 70 family,4,607,<a href='https://pfam.xfam.org/family/PF00012' target='_blank'>PF00012</a>,<a href='https://www.yeastgenome.org/locus/YAL005C/protein' target='_blank'>YAL005C</a>
YAL004W, ,PF10712,"NAD-specific glutamate dehydrogenase; Glutamate dehydrogenase, NAD-specific",2,213,<a href='https://pfam.xfam.org/family/PF10712' target='_blank'>PF10712</a>,<a href='https://www.yeastgenome.org/locus/YAL004W/protein' target='_blank'>YAL004W</a>
YAL003W,EFB1,PF00736,"EF-1 guanine nucleotide exchange domain; Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain",122,206,<a href='https://pfam.xfam.org/family/PF00736' target='_blank'>PF00736</a>,<a href='https://www.yeastgenome.org/locus/YAL003W/protein' target='_blank'>YAL003W</a>
YAL003W,EFB1,PF10587,"Eukaryotic elongation factor 1 beta central acidic region; Elongation factor 1 beta central acidic region, eukaryote",83,110,<a href='https://pfam.xfam.org/family/PF10587' target='_blank'>PF10587</a>,<a href='https://www.yeastgenome.org/locus/YAL003W/protein' target='_blank'>YAL003W</a>
YAL002W,VPS8,PF12816,"Golgi CORVET complex core vacuolar protein 8; Vacuolar protein sorting-associated protein 8, central domain",538,735,<a href='https://pfam.xfam.org/family/PF12816' target='_blank'>PF12816</a>,<a href='https://www.yeastgenome.org/locus/YAL002W/protein' target='_blank'>YAL002W</a>
YAL001C,TFC3,PF04182,B-block binding subunit of TFIIIC; B-block binding subunit of TFIIIC,108,174,<a href='https://pfam.xfam.org/family/PF04182' target='_blank'>PF04182</a>,<a href='https://www.yeastgenome.org/locus/YAL001C/protein' target='_blank'>YAL001C</a>
YAR002C-A,ERP1,PF01105,emp24/gp25L/p24 family/GOLD; GOLD domain,22,213,<a href='https://pfam.xfam.org/family/PF01105' target='_blank'>PF01105</a>,<a href='https://www.yeastgenome.org/locus/YAR002C-A/protein' target='_blank'>YAR002C-A</a>
YAR003W,SWD1,PF00400,"WD domain, G-beta repeat; WD40 repeat",68,100,<a href='https://pfam.xfam.org/family/PF00400' target='_blank'>PF00400</a>,<a href='https://www.yeastgenome.org/locus/YAR003W/protein' target='_blank'>YAR003W</a>
